,review_date,review_title,review_text
10,18 June 2023," Please Refund - They Sold This Movie Using Lord Ram's Name
","
First of all, I want to say something to Prabhas fans. This movie made money not because of Prabhas. This movie made money only because the name of Lord Rama and Lord Hanuman was thrown. The last two movies of Prabhas were super flop. This movie made money only because Hindu religious sentiments were involved and that's why people went to watch it, it's not because of Prabhas.One more reason is that, the makers scammed the audience in trailer, interviews, and various series of incidents before the movie.Before the premier of the movie, the dialogue writer said that, the whole movie is based on Ramayana, the Hindu epic. Now, after the movie is released, him and including others are claiming that it is not based on Ramayana, after they were charged for blasphemy in Delhi High court.Now, when they say that this movie is not based on Ramayana, they are still using these names of Lord Rama, Hanuman, Sita or Jankai, Lankesh or Dashanan or Ravana, Bali, Sugriv, etc. All these names, all these characters, are based on Ramayana. This is the basis that this movie should be banned for blasphemy and hurting religious sentiments of billions of Hindu followers all over the world.Next, they took six more months time to fix the movie. That was indeed not to fix the movie but to plan the methods to trick and deceive the audience so that they buy the tickets.For example, keeping one seat empty for Lord Hanuman in every theatres was a publicity stunt too. They even captured a monkey in Telangana and placed it on theatres to get the attention.Still, after six months, the only thing they changed in the movie was the saturation and brightness. They made brighter scenes darker and dark scenes brighter to hide the details and flaws. The whole movie was dark, couldn't see anything even after using a torch.Talking about details, the cheap 3D models were just downloaded from the internet. I personally checked and found one of monsters shown in the movie, already available on the internet.They downloaded those models and slightly modified them, like the facial expression, so that people won't identify. Thankfully, I caught them doing so and immediately identified those models as I am a game developer myself and I have used one of them in my video game already before they used it the movie.I have the 3d file saved on my computer. It is ditto to the monster shown in Adipurush, just a few facial expressions are changed.This movie is a total scam. They said 600 crores budget, but the actual investment is $0 as those 3D models are already available. I'm angry man. I don't want to write anything more.And, lastly, Prabhas fans, shame on you and shame on your brain and mindset for considering Prabhas sold this movie. This movie was sold in the name of Lord Rama and Lord Hanuman, not that clown Prabhas. The whole movie is clownish and insult to Hinduism.Foreigners who don't know the actual Ramayana will think that this is the real Ramayana. Therefore, Adipursh is an insult to our religion and culture, it should be banned permanently and the people who were scammed should be refunded their money back.
"
11,18 June 2023," Most Disheartening
","
This movie is disastrous disappointing and disheartening. Om Raut is cult non sense guy. How can he make a mock and joke out of this . Nothing is interesting in the movie. What are these appearances, why do Lankesh has A vampire (bat) as his vehicle when we all know that Sita was captured in Pushpak Vimaan, Why Raghav is wearing leather belts ? Why Shesh always will stand behind Raghav and give negative reviews to him on any situation? Why Bajrang has a 3rd class dialogue delivery with Indrajeet? Why Sugreev , Angad and all did not get the Bajrang like appearances ? Why Indrajeet look like Tattoo artist from South Goa ? Why Ravan's 9 heads are like some book's arranged in a shelf and Why god why ? Why did i watch this movie ? Lord Shri Ram and Hanumanji , please forgive me for watching this movie. Hope Om Raut stops making movies. One smart move that you changed names for all characters and you can later claim its your version of Ramayan and its inspired not remake. Sahi hai. HONESTLY FOLKS, please DON'T waste your money. Biggest torture was i watched it on my birthday yesterday 😌
"
12,16 June 2023," Worst movie in the world
","
Worst movie in the world. This is not even 0.00000000000000000001 percent of Ramanadji's Ramayana.First of all, I have a humble request to all of you not to call Ramayana (Mythology) because it is our history.I can not address Adipurush with any kind of number (I would not give it any rating) because only and only humor has been made in it.There is not a single Ramayana dialogue anywhere in this entire movie.Ravana was a very learned king and he is shown as a Mughal.The most important thing in the war was that Angad's warning dialogue was not the only one which could show the dignity of Purushottam.They made Meghnath (Flash), Honorable, I want to know from you that in which epic you had read that only Laxman ji gets snakebite and for that Lord Hanuman ji went to get Sanjeevani, where was Shakti Baad.If I talk about this whole movie, there is not a single scene in it which defines spirituality.I want to know what thought you guys made this.This movie is fully inspired by Mughals. Not from Ramayana.If you guys think that I am saying wrong then you can discuss me on this I am ready with facts.
"
13,18 June 2023," Worst Ramayan adaptation with worst actor to play Lord Ram
","
Prabhas looks absolutely ugly in the movie which is very distracting even if I try to enjoy this movie as a movie for children. Lots of CGI has been used just to make him look young and fit. Ravan and his brothers look younger than Lord Ram which is stupid. These Rakshasas were conquering world even before Lord Ram was born. It seems like our revered God's character was butchered for the sake of a lazy superstar who has accidentally hit on the box office draw.Movie is bad. The vision and the portrayal of characters which we have seen since childhood doesn't fit here. Even though I am all for allowing multiple interpretation, here it doesn't come well.

                    115 out of 130 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

"
14,18 June 2023," Tanaji . Adipursh and Om Raut
","
Cheta naa kodka Om Raut, even if we give you Ramayana Book and Ramand sagars Ramayan Video cassettes you can copy and make proper Ramayana movie,Mani Ratnam Raavan movie has better straight story then you,Ravanudu enti ra antha chetaga unnadu, Look at TV serial Ramayan, look at Lankashwarudu from it, even he has grace,You better go hiding for some days, Orelse peple will burn you this dussera.You dont have a least common sense while making this movie, Watch and learn from Kodi Ramakrishna movie, People Gave aariti while watching Movie Ammoru and Goose bumbs watching Arundithi .Movie anta iye..
"
15,18 June 2023," Seems to be conspiracy to trash Hindus' sacred text, via this movie
","
Shocking level of depravity shown by movie makers, in creating this movie. Om Raut and Manoj Muntasir, were you making a comedy genre movie out of the sacred Ramayana ? Shame on every one who was part of this project.And to Manoj M who is going around saying Katha Vachaks in India use such type of language...I have heard innumerable Katha Vachaks throughout my life. Never heard anyone insulting the holy Ramayan or its characters in such manner.VFX is at a level that perhaps a high school student who has just learnt a few tricks from youtube, will do for free time-pass. The whole 600 cr budget is a complete farce. ED should investigate for money laundering angle.

                    163 out of 180 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

"
16,18 June 2023," Watch if you wanna know how to make bad movie.
","
Adipurush, a much-anticipated film starring Prabhas, Saif Ali Khan, and Kriti Sanon, fails to live up to the expectations of its viewers. Despite a promising premise and a talented cast, the movie falls short in multiple aspects, leaving the audience unsatisfied and disillusioned.One of the major letdowns of Adipurush lies in its character development. Prabhas, known for his charismatic presence on-screen, fails to justify his role as the protagonist. His performance lacks depth and fails to evoke the necessary emotions that could have brought the character to life. Similarly, Saif Ali Khan and Kriti Sanon also struggle to make a lasting impact, as their characters feel underdeveloped and fail to leave a lasting impression.Another glaring issue with Adipurush is its screenplay and dialogue. The film relies heavily on overhyped and low-impact dialogues that do not resonate with the audience. The lack of impactful writing makes it difficult for the viewers to connect with the story or the characters, leading to a sense of detachment throughout the movie.Furthermore, the visual effects in Adipurush, touted as one of its strengths, turn out to be lackluster. The CGI (Computer-Generated Imagery) feels unpolished and fails to seamlessly blend with the live-action sequences. The result is a jarring and unconvincing visual experience that takes away from the overall immersion in the film.The filmmakers had the opportunity to elevate Adipurush by focusing on simplicity and utilizing a more accessible language. However, they missed the mark by overcomplicating the narrative and using convoluted storytelling techniques. As a result, the movie becomes unnecessarily convoluted and difficult to follow, leaving the audience feeling disconnected and perplexed.In conclusion, Adipurush is a disappointing film that fails to capitalize on its potential. The lackluster character development, underwhelming performances, weak dialogue, and unimpressive visual effects contribute to its downfall. While it had the ingredients for success, the execution falls short, resulting in a wasted opportunity. Ultimately, this movie fails to leave a lasting impact and will likely leave viewers feeling unsatisfied and unfulfilled.
"
17,16 June 2023," Totally disappointed due to many reasons
","
I recently watched a movie that left much to be desired. The visual effects were subpar, lacking the polish and realism expected from modern cinema. The choice of actors didn't do justice to the characters, as their performances felt uninspired and disconnected. The background music failed to create the desired atmosphere, often feeling out of place or generic. Additionally, the makeup applied to the characters was poorly executed, detracting from their believability. Overall, this film fell short in multiple areas, making it a disappointing experience that failed to live up to its potential.Don't watch, instead see Japanese Ramayan and show to you children the masterpiece.
"
18,18 June 2023," Bad dialogues, misguided story
","
This is the wrist think of the year... Some scenes are own created by writer... Dialogues are very 3rd class .I think Ramanand Sagar ramayan is best ... There is some characters are fake... We know hanuman have ast sidhi nav nidhi.... Then why Hanuman looks like a Muslim ? And ravans 10 head is up down... They show a dark Lanka like coal field... And we know our ram is a simple and calm person... But in movie they show us a aggressive ram ... They made a bahubali 3 in story of ramayan... I think pravas is wrong choice for Prabhu shree ram ... Why ravan looks like a chapri .. where is ahiravan the king of patal lok...

                    117 out of 130 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

"
19,18 June 2023," Adipurush: A Disappointing and Controversial Adaptation
","
Adipurush, despite generating immense anticipation, fails to meet the expectations set for it. Marketed as a grand spectacle, the film disappoints on various fronts. The CGI work, which was supposed to be extravagant, turns out to be subpar, lacking the finesse and attention to detail that one would expect from a high-budget production. The underwhelming visual effects further contribute to the film's lackluster presentation, leaving viewers disengaged and unimpressed with the story.The sentiments of many Hindus were hurt by this film. Adipurush takes liberties with the revered story of Ramayana, altering its narrative, characterization, language, and even resorting to poorly written dialogues. This creative license comes at the cost of the film's integrity and disrespects the source material, leaving a bitter taste for those familiar with the original tale. It is disheartening to witness Bollywood continue to disregard Hindu sentiments for the sake of entertainment.Ultimately, Adipurush emerges as a highly disappointing and controversial adaptation, leaving audiences yearning for a more respectful and faithful retelling of the epic.
"
20,18 June 2023," poorly executed epic
","
What a poorly made movie. Vfx is more like a videogame from the 2010's, and every scene looks fake. Charecter arcs are missing completely and hence charecters dont make sense at all in their mannerisms. Choice of actors is veyry poor - prabhas is miscast, superficial and wodden . He has outdone his cardboard acting from Radhe Shyam, saif as ravana tried hard and has great screen presence but also ravan + lanka = straight out of game of thrones + vikings + punk rock band. Hanumans dialogues - street style. Cinematic liberties = too many. The movie is a disgrace of indias most loved epic - Ramayana. Avoid at all costs.

                    45 out of 52 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

"
21,18 June 2023," Extremely poor movie.Poor animation,costume,dialog and direction.
","
I made such a foolish decision to waste my hard earned money on the film Adipurush.Instead of Pushpak viman of ravan i saw a Batman vehicle.Instead of Sugriv...gorilla king kong
Hanuman ji ..the less said the better. Totally tapori type dialogs by him.Lanka was like Gotham City
Ashok Vatika where Sita is supposed to be kept looked like a cheap film set
Ramanand Sagar did not have the money for all this animation and still created magic ..
He would have committed Hara Kiri if he saw this film.Very poor story line, direction and costumes.Extremely poor animation. We will be leaving the film hall during half time. Im writing this review from the hall and prior to half time.The screenplay and film casting is absolutely wrong. Ravan and Saif Ali khan don't match at all in terms of expectations. Very very very disappointed.
"
22,18 June 2023," Intentionally distroyed the plot of movie
","
Worst ever Bollywood movie
600cr??????Not even of 600Rs.They intentionally showed lord Ram like very loser person.Even they did mockery of lord Hanuman.Laxman character was like unnecessary he didn't did anything in the movie.even lord Hanuman is always giving funny expressions like this actor don't know the acting.Maybe they tried to destroy prabhas's career and prabhas didn't even get it.there is not a single detailing in the movie
About ramayana. They just showed just like we tell about ramayana to any person like "" there was one Ram, one Sita,one Laxman,one Hanuman and one ravan and Ram kills the ravan that's it. As like this..
"
23,18 June 2023," Trash
","
I recently had the opportunity to watch Adipurush, a movie supposedly based on the Hindu mythology Ramayan. I wanted to take a moment to share my feedback and express my disappointment with the overall execution of the film.Firstly, I must mention that the departure from the traditional portrayal of characters in Adipurush was quite disheartening. Ravan, a revered character known for his devotion to Lord Shiva and his strict vegetarianism, was portrayed in a manner that completely disregarded these important aspects. This not only deviated from the original mythology but also had the potential to hurt the religious sentiments of Hindus who hold the Ramayan Epic in high regard.Moving on to the visual effects (VFX), it was quite evident that the film fell short in this aspect. Despite having a higher budget than Brahmastra, the VFX in Adipurush failed to impress. It seemed as though more attention was given to superficial color grading rather than focusing on achieving high-quality visual effects that would enhance the overall viewing experience.Additionally, the dialogues in the film were quite disappointing. While attempting to present a more modern interpretation, it felt like the important characters like Raavan and Hanuman were more like goons living in slum areas.In summary, Adipurush proved to be a disastrous departure from tradition. The film's misguided choices in character portrayal, subpar visual effects, and abysmal dialogues made it an underwhelming cinematic experience. It failed to deliver on its promise of an engaging and respectful adaptation of the revered Ramayan Epic. As an audience member, my disappointment was profound, and it truly affected my overall impression of the film.I hope that Adipurush team takes all these negative feedback into consideration for future projects. I believe that with the right attention to detail and a sincere commitment to honoring the source material, it is possible to create adaptations that resonate with audiences and do justice to the rich mythology they are based on.
"
24,18 June 2023," Adipurush will be known is a ""Kalank"" on bollywood.
","
Really this is how they created Ramayana in 700 crore budget. Utterly disappointed. Even the Ramananda Sagar's Ramayana which was aired more than 35 years ago is 100 times better than this without any VFX. Not a single good moment this movie. Even changed the Name like Ram as ragav, Sita as Janaki, Laxman as Shesh, Hanuman as Bajrang and so on. Vision less direction, cheap dialogues, irrelevant costumes, chapri makeup of ravan. He was looking like a tik tok chapri. This movie is full of disappointment and full of mistakes. All movie was dark looks like all scenes are from night. I will recommend not to waste your money on this.
"
25,18 June 2023," Adipurush: A Disappointing and Misguided Interpretation
","
Director Om Raut's highly anticipated film ""Adipurush"" promised to be a grand retelling of the epic Ramayan with a star-studded cast including Prabhas, Kriti Sanon, Saif Ali Khan, and Devdutta Nage. However, upon watching the film, it becomes evident that it falls far short of expectations and fails to deliver a satisfying cinematic experience.One of the most glaring issues with ""Adipurush"" is its visual presentation. Despite being a live-action film, it often feels like a poorly executed animated movie. The special effects and CGI work are subpar, resulting in unrealistic and unconvincing visual sequences. This lackluster visual quality is particularly disappointing considering the film's large budget and the potential for stunning visuals within the context of the Ramayan.Another significant flaw lies in how the film handles the sacred story of the Ramayan. ""Adipurush"" takes unnecessary liberties with the source material, deviating from the essence and integrity of the epic. The film's screenplay and characterizations fail to capture the depth and complexity of the original tale, resulting in a shallow and superficial interpretation. The narrative lacks the emotional resonance and spiritual depth that make the Ramayan such a timeless and revered story.Furthermore, the performances of the lead actors, despite their talent, fail to make a lasting impression. Prabhas, known for his charismatic presence, feels miscast as Lord Ram, lacking the gravitas and spiritual aura that the character demands. Kriti Sanon's portrayal of Sita lacks depth and fails to capture the strength and resilience of the iconic character. Saif Ali Khan's performance as Ravana, though initially promising, falls victim to weak writing and fails to elevate the character beyond a one-dimensional villain.The pacing of ""Adipurush"" is uneven, with certain scenes dragging on for too long while others feel rushed and underdeveloped. The lack of cohesive storytelling and the absence of emotional resonance make it difficult to stay engaged throughout the film's runtime.In conclusion, ""Adipurush"" is a disappointing cinematic experience that fails to do justice to the epic Ramayan. The film's subpar visual effects, misguided interpretation of the source material, and lackluster performances contribute to its overall lack of impact. Fans of the Ramayan and those expecting a grand and faithful adaptation will find themselves sorely let down by this underwhelming rendition.
"
26,16 June 2023," Disaster!! Save your money guys
","
I don't know from where should I start. Only good thing about the movie was Some of good dialogues by Manoj Muntashir ..but not all. Om raut should never make any movie after this.Do not try to relate it with original Ramayan.. because many incidents were shown wrong. So disappointed and disheartened by the makers of this movie. Save your money or spend on something else don't pay to take headache with you.VFX not at all on point.. they chose final battle scene as night to save some embarassment.VFX 1/5
Direction 1/5
Dialogue 3/5
Saif Ali Khan acting 4/5
Kriti 3/5
Prabhash 2/5.Editing: 2/5.
"
27,18 June 2023," A Cringe-worthy Adaptation
","
""ADIPURUSH"" is an unfortunate attempt at adapting an epic story, resulting in a cinematic disaster that falls flat on multiple levels. From the onset, it becomes painfully evident that the film has made some regrettable choices in terms of visual effects (VFX), dialogues, and the overall adaptation.Let's start with the VFX, or rather, the lack thereof. The movie's visual effects are nothing short of abysmal. The poorly rendered creatures and unconvincing movement leave the audience cringing with disappointment.Moving on to the dialogues, they prove to be equally disappointing. The use of cheap language, lacking depth and originality. The dialogues fail to evoke any emotional response.However, the most egregious offense committed by ""ADIPURUSH"" is its degrading adaptation of an epic. The film takes the rich source material and reduces it to a shallow and misguided narrative. The characters are poorly developed, their motivations are unclear, and the plot meanders aimlessly, losing the essence of the original story. It's disheartening to witness such a disregard for the source material, as it alienates fans who were eagerly anticipating a faithful and respectful interpretation.Overall, ""ADIPURUSH"" is a disappointing cinematic experience that fails on multiple fronts. Its woeful VFX, cringe-worthy dialogues, and degrading adaptation make it a forgettable and regrettable addition to the genre. Save yourself the trouble and seek out better cinematic offerings that do justice to the stories they aim to tell.
"
